"session_id","service_id","created_by","updated_by","created_at","updated_at"
c96812d5-0910-422b-a3e3-7f99e227c92c,e8ccdf5c-bb40-4d06-a1a5-7b1149c713ef,"6b37efc0-2f44-4b8c-b83a-ec3a15ce653f","6b37efc0-2f44-4b8c-b83a-ec3a15ce653f",2023-07-25 20:03:34.362,2023-07-25 20:03:34.362
"26fbbdd2-baef-4000-974b-1b87b7c7036b","12328e8a-f6ac-4721-962d-972562c4228a","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-08-04 10:29:52.984,2023-08-04 10:29:52.984
a440a237-d89b-4a98-b42e-f257d7b368af,"39718829-c72c-4fe6-9c44-2472df782c94","1d14e719-5735-4480-9696-4fa417c1d9ee","1d14e719-5735-4480-9696-4fa417c1d9ee",2023-08-04 20:46:49.775,2023-08-04 20:46:49.775
b419f15f-ee22-4d0a-9052-0fbceea92363,"9a97ba15-6a6e-4b5b-a3c2-660e2aecd6a5","6b37efc0-2f44-4b8c-b83a-ec3a15ce653f","6b37efc0-2f44-4b8c-b83a-ec3a15ce653f",2023-07-25 20:13:51.023,2023-07-25 20:13:51.023
"35bbdb4f-e388-4270-8ef8-67a9cd37bd66","39718829-c72c-4fe6-9c44-2472df782c94","1d14e719-5735-4480-9696-4fa417c1d9ee","1d14e719-5735-4480-9696-4fa417c1d9ee",2023-08-04 21:05:37.550,2023-08-04 21:05:37.550
"8f67789b-33f6-44aa-b0b7-494898814406","12328e8a-f6ac-4721-962d-972562c4228a","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-08-05 08:30:42.649,2023-08-05 08:30:42.649
"113b77ee-9a78-4453-a6ef-6aca410c4a1f","12328e8a-f6ac-4721-962d-972562c4228a","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-08-05 09:02:47.433,2023-08-05 09:02:47.433
"8ec9c0cb-2535-4644-8980-0c5f2dfb381b","57654569-1ba3-41be-a38c-83ddf4854cc2","95f0d2a9-ac01-4cd2-b4b1-9fe8e2b03a65","95f0d2a9-ac01-4cd2-b4b1-9fe8e2b03a65",2023-08-05 11:11:22.948,2023-08-05 11:11:22.948
"7c571eef-1bc9-44c0-b574-454e6f53bb41",b6d0de94-1ee0-44e3-a5de-028cccea511a,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-08-05 14:01:21.485,2023-08-05 14:01:21.485
"2c3e3be7-6913-4bfa-b16d-9b7d229c7166",b6d0de94-1ee0-44e3-a5de-028cccea511a,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-07-26 04:47:40.561,2023-07-26 04:47:40.561
a4974d94-cad1-4392-99cf-87f56acda682,b6d0de94-1ee0-44e3-a5de-028cccea511a,"248978d1-e591-4614-9320-ce6020ebadff","248978d1-e591-4614-9320-ce6020ebadff",2023-07-26 05:05:07.273,2023-07-26 05:05:07.273
"17e497a4-9202-460e-99d1-f1734ffbff6b",d08837ec-1d13-4494-96cb-74ccbafd226e,"89a890fb-aa84-47fe-b8ef-72b9782744b0","89a890fb-aa84-47fe-b8ef-72b9782744b0",2023-07-26 05:36:30.720,2023-07-26 05:36:30.720
"02486a87-8108-4be1-9615-b00a1d08067b","8054c5cc-c1e6-4a0b-a5bc-0fcbc3a49d7f",f5138b61-8012-4854-a13f-86841ff6224b,f5138b61-8012-4854-a13f-86841ff6224b,2023-07-26 06:14:25.819,2023-07-26 06:14:25.819
"1de40c25-a203-4c22-be0a-45ececbcd208","9bba11f0-92b3-484c-8be5-032c0c29aae2","1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-07-26 06:33:22.832,2023-07-26 06:33:22.832
"08413a5f-5de3-448f-93ef-c3e4214e0dd6","6b51becc-9561-44ee-a438-4f28db5cd239","1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-07-26 06:34:56.142,2023-07-26 06:34:56.142
"189919d8-6806-4ee0-ad33-ab2afef7af41",f563a4fb-e1f6-41db-a3b7-9767aa4fad39,"547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-07-26 06:39:06.405,2023-07-26 06:39:06.405
df391083-15a9-4654-8aff-74d8c52f5448,"12328e8a-f6ac-4721-962d-972562c4228a",f5138b61-8012-4854-a13f-86841ff6224b,f5138b61-8012-4854-a13f-86841ff6224b,2023-07-26 06:40:29.977,2023-07-26 06:40:29.977
"35125c5d-7da8-43c2-8f56-0eddbd02f191","4f031662-025a-47f0-a750-a1fa65cc01e7","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-07-26 06:43:29.060,2023-07-26 06:43:29.060
"7555371d-73d7-489d-855a-8b5f905bd4d1",b6d0de94-1ee0-44e3-a5de-028cccea511a,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-07-26 07:19:06.382,2023-07-26 07:19:06.382
"65222635-f494-4160-8ce6-955f137dcf93",b6d0de94-1ee0-44e3-a5de-028cccea511a,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-07-26 07:35:47.674,2023-07-26 07:35:47.674
"503b465a-1f5b-46c0-8076-57821fd19809","113ea9e5-2835-4838-8279-856046d1ca81",dbd2f568-0cf3-4305-854d-684eee9df589,dbd2f568-0cf3-4305-854d-684eee9df589,2023-08-07 06:03:00.569,2023-08-07 06:03:00.569
"950ef7ce-7d08-4f61-a5b5-c25dffb44109","113ea9e5-2835-4838-8279-856046d1ca81",dea850b3-98e8-4882-bcea-67151303c078,dea850b3-98e8-4882-bcea-67151303c078,2023-08-07 06:07:11.884,2023-08-07 06:07:11.884
"108477b1-d1c1-4ee4-aa6f-c42224ecc44e","3d866f5e-03a0-4cfe-b626-1803c7f2d50a","1d6d4b77-4323-47cf-af70-a72142c39f63","1d6d4b77-4323-47cf-af70-a72142c39f63",2023-08-07 06:32:45.449,2023-08-07 06:32:45.449
"206584d5-e4a5-42f8-b111-58d5a3587d3d","113ea9e5-2835-4838-8279-856046d1ca81",dea850b3-98e8-4882-bcea-67151303c078,dea850b3-98e8-4882-bcea-67151303c078,2023-08-07 06:46:46.682,2023-08-07 06:46:46.682
"90567845-0880-48c1-932e-bac5b1bcbd63","50cabfde-1554-4e01-9c51-42ad3fec9614","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-07-26 08:44:02.376,2023-07-26 08:44:02.376
d95ebcf0-424f-4fda-b175-30e7d42d40b2,"50cabfde-1554-4e01-9c51-42ad3fec9614","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-07-26 08:55:36.798,2023-07-26 08:55:36.798
"1250fa2c-2d70-4b8d-87de-270d7e1b7674","89748bc5-fb34-4d89-bcb3-be7abbce7acc","0b43b951-a1b1-42a5-b8ff-95bdd308b6b6","0b43b951-a1b1-42a5-b8ff-95bdd308b6b6",2023-07-26 09:14:44.736,2023-07-26 09:14:44.736
ced9e08e-2bfd-488d-870b-04c5d6844efc,"50cabfde-1554-4e01-9c51-42ad3fec9614","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-07-26 09:32:54.769,2023-07-26 09:32:54.769
"2a1bd705-43c8-4fc9-8567-11639d19b2fc",e9330e18-8e2a-4a19-a04b-aa3a2f5e4eb2,f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,2023-07-26 09:54:33.159,2023-07-26 09:54:33.159
"9922bf8e-6c75-4a12-bcd5-0e3c7dfe9c15","7a969e31-1422-4f41-b627-3163736a9df5",f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,2023-07-26 10:01:36.780,2023-07-26 10:01:36.780
d906059b-c35c-4f1a-8ae0-855658941f2e,"7a969e31-1422-4f41-b627-3163736a9df5",f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,2023-07-26 10:09:05.569,2023-07-26 10:09:05.569
"6e2ddc86-4740-4380-80c2-6d4ac65768be","7a969e31-1422-4f41-b627-3163736a9df5",f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,2023-07-26 10:14:43.312,2023-07-26 10:14:43.312
